Epoch,Train_MSE,Val_MSE,Learning_Rate
307,2.4535499150163958e-08,2.2148063073043282e-08,1.6796159999999994e-05
308,2.4668193723482212e-08,1.8824886326513637e-08,1.6796159999999994e-05
309,2.4139353447427862e-08,1.9026761750141846e-08,1.6796159999999994e-05
310,2.420382258009178e-08,2.2166637446691013e-08,1.6796159999999994e-05
311,2.4043979368859208e-08,2.9201141779823047e-08,1.6796159999999994e-05
312,2.4180424862252616e-08,3.2447148112526865e-08,1.6796159999999994e-05
313,2.375999283897099e-08,2.047741158651384e-08,1.6796159999999994e-05
314,2.40456273653619e-08,2.800299098763984e-08,1.6796159999999994e-05
315,2.35870139481276e-08,2.447084228521493e-08,1.6796159999999994e-05
316,2.3933472620637155e-08,1.9676600008249234e-08,1.6796159999999994e-05
317,2.338924312014098e-08,2.0529288674391645e-08,1.6796159999999994e-05
318,2.370617583177117e-08,2.3426376246528253e-08,1.6796159999999994e-05
319,2.3754996794903144e-08,1.8569893135171595e-08,1.6796159999999994e-05
320,2.3278955502846703e-08,2.487209198920157e-08,1.6796159999999994e-05
321,2.3252752893703788e-08,1.8222394989282717e-08,1.6796159999999994e-05
322,2.3481777244982366e-08,2.5165186915757935e-08,1.0077695999999996e-05
323,1.783707993907618e-08,1.8490440573600326e-08,1.0077695999999996e-05
324,1.868672180163191e-08,1.862473876597825e-08,1.0077695999999996e-05
325,1.8400337460055365e-08,1.7284398944700454e-08,1.0077695999999996e-05
326,1.8635102872154145e-08,2.0410690790579638e-08,1.0077695999999996e-05
327,1.837037719478701e-08,2.2438780815972215e-08,1.0077695999999996e-05
328,1.8313204600855532e-08,1.781161322502266e-08,1.0077695999999996e-05
329,1.8643141684451318e-08,1.5591773136376472e-08,1.0077695999999996e-05
330,1.8496286508575755e-08,1.8456398612226025e-08,1.0077695999999996e-05
331,1.8340039075905375e-08,1.6228651175186792e-08,1.0077695999999996e-05
332,1.8375738571944556e-08,2.153622500866101e-08,1.0077695999999996e-05
333,1.8243841606934795e-08,1.9200809299656212e-08,1.0077695999999996e-05
334,1.8334105658720967e-08,1.6999641548463605e-08,1.0077695999999996e-05
335,1.816881606698157e-08,1.6395927146140857e-08,1.0077695999999996e-05
336,1.8136527888651286e-08,2.0112864506688898e-08,1.0077695999999996e-05
337,1.8266012906301755e-08,2.7088169838666748e-08,1.0077695999999996e-05
338,1.8158937265504824e-08,1.5743310407700198e-08,1.0077695999999996e-05
339,1.796553934277526e-08,1.7478027665454433e-08,1.0077695999999996e-05
340,1.813990230882636e-08,1.5269029215481815e-08,1.0077695999999996e-05
341,1.793273780755182e-08,1.684743270269222e-08,1.0077695999999996e-05
342,1.7881855016429694e-08,1.4704076954596592e-08,1.0077695999999996e-05
343,1.7997365354072808e-08,2.5521793462883007e-08,1.0077695999999996e-05
344,1.7841105459601888e-08,1.6298956717519312e-08,1.0077695999999996e-05
345,1.777720977146992e-08,1.69053254712016e-08,1.0077695999999996e-05
346,1.7824203041621852e-08,1.856541830316451e-08,1.0077695999999996e-05
347,1.7832048254218628e-08,1.8562884175203407e-08,1.0077695999999996e-05
348,1.782502544314396e-08,1.9431908167765664e-08,1.0077695999999996e-05
349,1.7814173902572615e-08,1.6440579982964635e-08,1.0077695999999996e-05
350,1.7416526457007727e-08,1.8875023470798276e-08,1.0077695999999996e-05
351,1.7796849634539514e-08,1.995464457162496e-08,1.0077695999999996e-05
352,1.7599156152244945e-08,2.208649200055637e-08,1.0077695999999996e-05
353,1.753103801197792e-08,1.9775903236607765e-08,1.0077695999999996e-05
354,1.7551840746454736e-08,1.625033589018743e-08,1.0077695999999996e-05
355,1.771670118492152e-08,1.572428637418887e-08,1.0077695999999996e-05
356,1.7287992686264357e-08,1.888811009565128e-08,1.0077695999999996e-05
357,1.749875975478913e-08,1.6141577601717754e-08,1.0077695999999996e-05
