a,k,k h,Omega_cdm,Omega_b,Omega_m,A_s,h,k_horizon,sigma8,delta_cdm,delta_b,delta_m,delta_prime_cdm,delta_prime_b,delta_prime_m
0.03021202,0.04600474,0.0303631284,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-342.66609999999997171,-316.38179999999999836,-338.4012664490051634,-11121.797124645258009,-11078.936357736378341,-11114.842629500461044
0.03024639,0.01076719,0.0071063454,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-62.851909999999996614,-60.47231000000000023,-62.46580126140139555,-2027.7723118115707166,-2019.6712460856615508,-2026.4578504446453735
0.03025318,0.05621177,0.0370997682,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-405.05979999999999563,-362.85610000000002628,-398.21191910775183942,-13081.3477026702694275,-12979.107952246453351,-13064.75850235476355
0.03029318,0.09073851,0.0598874166,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-591.3201000000000249,-540.0569000000000415,-583.00224427276532424,-19122.166468134677416,-19024.069658743726905,-19106.249492452003324
0.03030568,0.05006921,0.0330456786,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-372.30910000000000082,-343.09660000000002356,-367.5691430634091148,-12045.945754106714958,-11991.758763314994212,-12037.15349042246271
0.030384,0.2814027,0.185725782,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-1115.9139999999999873,-990.1938000000000102,-1095.5149128263726652,-35847.531140425562626,-35563.39242817084596,-35801.42740880020574
0.03039262,0.06712759,0.0443042094,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-453.03879999999998063,-386.44209999999998217,-442.23296379566755832,-14473.106900409127775,-14297.171761235567828,-14444.560046038024666
0.03040959,0.2000223,0.132014718,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-939.1106999999999516,-830.43840000000000146,-921.4777681317831366,-30128.422596169883036,-29880.511513960893353,-30088.19708127816557
0.03043572,0.1035224,0.068324784,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-630.8147000000000162,-550.251700000000028,-617.74272222738318305,-20184.139154284574033,-19982.348075744390371,-20151.39697123044607
0.03052551,0.04804225,0.031707885000000005,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-361.21059999999999945,-334.06490000000002283,-356.8059975519515774,-11607.950343480530137,-11562.375752380810809,-11600.555509104306111
0.03056883,0.2210608,0.14590012800000002,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-1000.94899999999995543,-892.8664999999999736,-983.41176780148623493,-31982.84560667912956,-31745.086909827954514,-31944.267395831902832
0.03060188,0.06946396,0.045846213600000005,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-467.80380000000002383,-400.00940000000002783,-456.80362758949030422,-14847.475073572330075,-14674.036913953059411,-14819.333373691904853
0.03065038,0.05414413,0.0357351258,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-400.14699999999999136,-363.1875,-394.15003163378929685,-12777.893333742853429,-12696.352615229083312,-12764.662713483239713
0.03078241,0.1811299,0.11954573400000001,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-907.7578999999999496,-810.49049999999999727,-891.97550248749132606,-28809.057428964195424,-28595.538472483480291,-28774.412305853729777
0.03081902,0.07947191,0.052451460600000006,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.004392061430222918,0.76174001094047,-534.91430000000002565,-478.7230000000000132,-525.79682144763171436,-16957.193289509206807,-16843.757565594754851,-16938.78745480058933
